อะ	คะ, พระ, สระ
อา	ชา, วา, ตา
อิ	ซิป, กิน, หิน
อี	สี, ตี, สี
อึ	บึง, ศึก, ขึ้น
อื	จืด, ถือ, ฟืน
อุ	ทุบ, ลุง, ยุง
อู	ชู, ดู, หู
เอะ	เอะ, เตะ, นักเตะ
เอ	เป้, เมฆ, เณร
แอะ	แกะ, แตะ, แพะ
แอ	แอ, แคน, แตน
โอะ	โกะ, โนะ, โมฆะ
โอ	โล, โกน, โดด
เอาะ	เจาะ, เบาะ, เงาะ
ออ	จอ, คอ, ทอ
อัวะ	
อัว	หัว, บัว, วัว
เอียะ	
เอีย	เปีย, เรียน, เขียน
เอือะ	
เอือ	เสือ, เลือด, เมือง,
เออะ	เถอะ, เยอะ, เดอะ
เออ	เจอ, เทอม, อำเภอ
อำ	นำ, คำ, ทำ
ใอ	ใคร, ใส่, ใกล้
ไอ	ไฝ, ไร, ไต
เอา	เมา, เกา, เหา
เอย	เลย, เนย, เลย
อาย	พาย, นาย, ฉาย
เอียว	เอียว, สีเขียว, งูเขียว, ไข่เจียว
อาว	ลาว, ดาว, คราว
อวย	สวย, ป่วย, กรวย
เอือย	เปลือย
ออย	หอย, ลอย, ซอย
โอย	โอย, โรย, ขโมย, โดยรวม, 
อุย	คุย, ถุย
อิว	สิว, ผิว, คิว
เอ็ว	เร็ว, รวดเร็ว, ความเร็ว
เอว	เอว, เลว, เยาว์, เทวดา
แอว	แมว, แซว, แถว
เอย	เลย, เนย, เลย
